track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Lyrics
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,2oCs0DGTsRO98Gh5ZSl2Cx,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.748,0.916,6,-2.634,1,0.0583,0.102,0,0.0653,0.518,122.036,194754,"I'm at a party I don't wanna be at
And I don't ever wear a suit and tie, yeah
Wondering if I could sneak out the back
Nobody's even looking me in my eyes
Then you take my hand
Finish my drink, say, ""Shall we dance?"" (hell, yeah)
You know I love you, did I ever tell you?
You make it better like that
Don't think I fit in at this party
Everyone's got so much to say (yeah)
I always feel like I'm nobody, mm
Who wants to fit in anyway?
'Cause I don't care when I'm with my baby, yeah
All the bad things disappear
And you're making me feel like maybe I am somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
'Cause I don't care as long as you just hold me near
You can take me anywhere
And you're making me feel like I'm loved by somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
We at a party we don't wanna be at
Tryna talk, but we can't hear ourselves
Read your lips, I'd rather kiss 'em right back
With all these people all around
I'm crippled with anxiety
But I'm told it's where I'm supposed to be
You know what? It's kinda crazy 'cause I really don't mind
When you make it better like that
Don't think we fit in at this party
Everyone's got so much to say, oh yeah, yeah
When we walked in, I said I'm sorry, mm
But now I think that we should stay
'Cause I don't care when I'm with my baby, yeah
All the bad things disappear
Yeah, you're making me feel like maybe I am somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
(Oh, yeah, yeah, yeah)
'Cause I don't care as long as you just hold me near
You can take me anywhere
Yeah, you're making me feel like I'm loved by somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (no)
I don't like nobody but you, it's like you're the only one here
I don't like nobody but you, baby, I don't care
I don't like nobody but you, I hate everyone here
I don't like nobody but you, baby, yeah
'Cause I don't care (don't care)
When I'm with my baby, yeah (oh yeah)
All the bad things disappear (disappear)
And you're making me feel like maybe I am somebody (maybe I'm somebody)
I can deal with the bad nights (with the bad nights)
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (ooh, yeah, yeah)
'Cause I don't care as long as you just hold me near (me near)
You can take me anywhere (anywhere, anywhere)
And you're making me feel like I'm loved by somebody (I'm loved by somebody)
I can deal with the bad nights (yeah, yeah, yeah)
When I'm with my baby, yeah (oh)
Ooh, ooh, ooh, ooh, ooh, ooh"
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,67,63rPSO264uRjW1X5E6cWv6,Memories (Dillon Francis Remix),2019-12-13,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,"Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
Tequila drinkin', double shot, yeah, I need you
I know this life it look nice but it get deeper
I run from reapers, dodge bullets from Glock, Ninas
I live my life tryna prove myself to non-believers, gotta stop that
The devil talkin', I block that
Got some homies in Heaven now, they watch my back
For all this pain, we numb it with champagne
Hunnid bottles in the club, that's a goddamn shame
Everybody hurts sometimes
Everybody hurts someday, ayy-ayy (4Hunnid)
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Look
I done lost love, lost fifties, lost dubs
Lost fights, nigga, lost life of loved ones
Lost time, pressin' rewind, it won't budge
It's alright, you can tell me your truth, I won't judge
I done lost too, relationships you could call true
You hit me up and I'm gon' fall through
Tellin' lies to sound true, like it's all you
Learn to love what's imperfect, that's what God do
Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got (oh-oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (no, no)
Toast to the ones here today (ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (ayy)
And the memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo (ooh, yeah)
Memories bring back, memories bring back you
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you"
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,70,1HoSmj2eLcsrR0vE9gThr4,All the Time (Don Diablo Remix),2019-07-05,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.675,0.931,1,-3.432,0,0.0742,0.0794,0.0000233,0.11,0.613,124.008,176616,"From the breaking of the day to the middle of the night
(From the breaking of the day to the middle of the night)
(From the breaking of the day to the middle of the night)
(From the breaking of the day to the middle of the night)
Summertime and I'm caught in the feeling
Getting high and I'm up on the ceiling
I don't know what you're doing in New York
All I know is you ain't on my bedroom floor
I'm seeing you undressed in my room
But it's just a memory, a fantasy
Are you in your house? Are you going out?
Are you going crazy like me?
From the breaking of the day to the middle of the night
I try to forget about you, baby
And I die when I think of you with someone else
And I don't know why
I don't know why you're dancing in my mind
From the breaking of the day to the middle of the night, all the time
From the breaking of the day to the middle of the night, all the time
Everyone's been wearing your perfume
Everything is reminding me of you
I don't know what I'm doing in New York
But all I know is you ain't walking through that door
I'm seeing you undressed in my room
But it's just a memory, a fantasy
Are you in your house? Are you going out?
Are you going crazy like me?
From the breaking of the day to the middle of the night
I try to forget about you, baby
And I die when I think of you with someone else
And I don't know why
I don't know why you're dancing in my mind
From the breaking of the day to the middle of the night
I try to forget about you, baby
And I die when I think of you with someone else
And I don't know why
I don't know why you're dancing in my mind
From the breaking of the day to the middle of the night (yeah)
And I wonder if you think about me too
Where we used to go, what we used to do
And I wonder if you're crying out inside, oh, yeah, yeah
From the breaking of the day to the middle of the night
I try to forget about you, baby
And I die when I think of you with someone else
And I don't know why
I don't know why you're dancing in my mind
From the breaking of the day to the middle of the night
I try to forget about you, baby
And I die when I think of you with someone else
And I don't know why
I don't know why you're dancing in my mind
From the breaking of the day to the middle of the night, all the time
From the breaking of the day to the middle of the night, all the time
From the breaking of the day to the middle of the night"
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,60,1nqYsOef1yKKuGOVchbsk6,Call You Mine - The Remixes,2019-07-19,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.718,0.93,7,-3.778,1,0.102,0.0287,0.00000943,0.204,0.277,121.956,169093,"Two kids with their hearts on fire
Who's gonna save us now?
When we thought that we couldn't get higher
Things started looking down
I look at you and you look at me
Like nothing but strangers now
Two kids with their hearts on fire
Don't let it burn us out
Think about what you believe in now
Am I someone you cannot live without?
'Cause I know I don't wanna live without you, yeah
Come on, let's turn this all around
Bring it all back to that bar downtown
When you wouldn't let me walk out on you, yeah
You said, ""Hey, whatcha doing for the rest of your life?""
And I said, ""I don't even know what I'm doing tonight""
Went from one conversation to your lips on mine
And you said, ""I never regretted the day that I called you mine""
So I call you mine
Can I call you mine? (Ooh)
And you said, ""I never regretted the day that I called you mine""
Broke kids running through the city
Drunk on the subway train
Set free every time you kissed me
We couldn't feel no pain
You looked at me and I looked at you
Like we'd never look away
Broke kids running through the city
Don't let the memory fade
You said, ""Hey, whatcha doing for the rest of your life?""
And I said, ""I don't even know what I'm doing tonight""
Went from one conversation to your lips on mine
And you said, ""I never regretted the day that I called you mine""
So I call you mine
Can I call you mine? (Ooh)
And you said, ""I never regretted the day that I called you mine""
Think about what you believe in now
Am I someone you cannot live without?
'Cause I know I don't wanna live without you, yeah
Come on, let's turn this all around
Bring it all back to that bar downtown
When you wouldn't let me walk out on you, yeah
You said, ""Hey, whatcha doing for the rest of your life?""
And I said, ""I don't even know what I'm doing tonight""
Went from one conversation to your lips on mine
And you said, ""I never regretted the day that I called you mine""
So I call you mine (Ooh)
And you said, ""I never regretted the day that I called you mine""
Can I call you mine? (Ooh, ah, ooh)
Can I call you mine? (Ooh, ah, ooh)
Can I call you mine? (Ooh, ah, ooh)
Can I call you mine?
"
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,69,7m7vv9wlQ4i0LFuJiE2zsQ,Someone You Loved (Future Humans Remix),2019-03-05,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.65,0.833,1,-4.672,1,0.0359,0.0803,0,0.0833,0.725,123.976,189052,"I'm going under and this time I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to heal
Somebody to know
Somebody to have
Somebody to hold
It's easy to say
But it's never the same
I guess I kinda liked the way you numbed all the pain
Now the day bleeds
Into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used to being someone you loved
I'm going under and this time I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know
Somebody to heal
Somebody to have
Just to know how it feels
It's easy to say but it's never the same
I guess I kinda liked the way you helped me escape
Now the day bleeds
Into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used to being someone you loved
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound 'til I come back around
For now the day bleeds
Into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds
Into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down
And then you pulled the rug
I was getting kinda used to being someone you loved"
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,2yiy9cd2QktrNvWC2EUi0k,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.675,0.919,8,-5.385,1,0.127,0.0799,0,0.143,0.585,124.982,163049,"We are, we are, we are
L.A. on a Saturday night in the summer
Sundown and they all come out
Lamborginis and their rented Hummers
The party's on, so they're headin' downtown
Everybody's lookin' for a come up
And they wanna know what you're about
Me in the middle with the one I'm lovin'
We're just tryna figure everything out
We don't fit in well
'Cause we are just ourselves
I could use some help
Gettin' out of this conversation, yeah
You look stunning, dear
So don't ask that question here
This is my only fear, that we become (hey)
Beautiful people
Drop top, designer clothes
Front row at fashion shows
""What d'you do?"" and ""Who d'you know?""
Inside the world of beautiful people
Champagne and rolled-up notes
Prenups and broken homes
Surrounded, but still alone
Let's leave the party
That's not who we are
(We are, we are, we are)
We are not beautiful
Yeah, that's not who we are
(We are, we are, we are)
We are not beautiful (beautiful)
L.A. (mmm) drove for hours last night
And we made it nowhere (nowhere, nowhere)
I see stars in your eyes
When we're halfway there (all night)
I'm not fazed by all them lights
And flashin' cameras
'Cause with my arms around you
There's no need to care
We don't fit in well
We are just ourselves
I could use some help
Gettin' out of this conversation, yeah
You look stunning, dear (ah)
So don't ask that question here
This is my only fear
That we become (hey)
Beautiful people
Drop top, designer clothes
Front row at fashion shows
""What d'you do?"" and ""Who d'you know?""
Inside the world of beautiful people
Champagne and rolled-up notes
Prenups and broken homes
Surrounded, but still alone
Let's leave the party
That's not who we are
(We are, we are, we are)
We are not beautiful, yeah
Yeah, that's not who we are
We are not beautiful (beautiful)
We are, we are, we are
We are not beautiful
"
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,62,7INHYSeusaFlyrHSNxm8qH,Never Really Over (R3HAB Remix),2019-07-26,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.449,0.856,5,-4.788,0,0.0623,0.187,0,0.176,0.152,112.648,187675,"I'm losing my self control
Yeah, you're starting to trickle back in
But I don't wanna fall down the rabbit hole
Cross my heart, I won't do it again
I tell myself, tell myself, tell myself, ""Draw the line""
And I do, I do
But once in a while I trip up, and I cross the line
And I think of you
Two years, and just like that, my head still takes me back
Thought it was done, but I guess it's never really over
Oh, we were such a mess, but wasn't it the best?
Thought it was done, but I guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
I guess I could try hypnotherapy
I gotta rewire this brain
'Cause I can't even go on the internet
Without even checking your name
I tell myself, tell myself, tell myself, ""Draw the line""
And I do, I do
But once in a while I trip up, and I cross the line
And I think of you
Two years, and just like that, my head still takes me back
Thought it was done, but I guess it's never really over
Oh, we were such a mess, but wasn't it the best?
Thought it was done, but I guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Thought we kissed goodbye, thought we meant this time
Was the last, but I guess it's never really over
Thought we drew the line right through you and I
Can't keep going back, I guess it's never really over
Two years, and just like that, my head still takes me back
Thought it was done, but I guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
(And I'll have to get over you all over again)
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again (Over you all over again)
Thought we kissed goodbye, thought we meant this time
Was the last, but I guess it's never really over
Thought we drew the line right through you and I
Can't keep going back, I guess it's never really over"
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,6703SRPsLkS4bPtMFFJes1,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.542,0.903,4,-2.419,0,0.0434,0.0335,0.00000483,0.111,0.367,127.936,207619,"One more drink, got one more Bacardi
One more dance at this afterparty
We're still going, going strong
Speed so fast, like a Ferrari
We get wild, like on safari
We still going, going strong
And all of these good things, good things, good things
All we need, good things, good things, good things
Tonight we go all night long
We party like Post Malone
Don't tell me to go-o-o
Yeah, we are never, ever going home tonight
Ain't nobody kill my vibe
Don't tell me to go-o-o
Yeah, we are never, ever going home
Yeah, we are never, ever going home
Yeah, we are never, ever going home
See the ocean there in your eyes
In slow motion, we see the sunrise
We are, we are in the zone
5:00 a.m. and we still are rolling
In the deepest of my emotions
We are, we are in the zone
And all of these good things, good things, good things
All we need, good things, good things, good things
Tonight we go all night long
We party like Post Malone
Don't tell me to go-o-o
Yeah, we are never, ever going home tonight
Ain't nobody kill my vibe
Don't tell me to go-o-o
Yeah, we are never, ever going home
Yeah, we are never, ever going home
Yeah, we are never, ever going home
Tonight we go all night long
We party like Post Malone
Don't tell me to go-o-o
Yeah, we are never, ever going home tonight
Ain't nobody kill my vibe
Don't tell me to go-o-o
Yeah, we are never, ever going home
Yeah, we are never, ever going home
(Never, ever going home)
Yeah, we are never, ever going home
"
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,68,7CvAfGvq4RlIwEbT9o8Iav,Tough Love (Tiësto Remix),2019-06-14,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.594,0.935,8,-3.562,1,0.0565,0.0249,0.00000397,0.637,0.366,127.015,193187,"Weight is on me, weight is on you
We scream and we fight like there's nothing to lose
End of the day, come and take my arm
There's no place I'd rather be than in your arms
Give me tough love and a lesson to learn
Your tough love is what I deserve
Sweet tough love, you're my pretty good luck charm
There's no place I'd rather be than in your arms
Tough love, you're my pretty good luck charm
There's no place I'd rather be than in your arms
Tough love, you're my pretty good luck charm
There's no place I'd rather be than in your arms
Weight is on you, weight is on me
Sometimes I'm not who you want me to be
God knows I try, we stumble and we fall
There's no place I'd rather be than in your arms
Give me tough love and a lesson to learn
Your tough love is what I deserve
Sweet tough love, you're my pretty good luck charm
There's no place I'd rather be than in your arms
Give me tough love and a lesson to learn
Your tough love is what I deserve
Sweet tough love, you're my pretty good luck charm
There's no place I'd rather be than in your arms
Tough love, you're my pretty good luck charm
There's no place I'd rather be than in your arms"
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,67,4QxzbfSsVryEQwvPFEV5Iu,If I Can't Have You (Gryffin Remix),2019-06-20,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.642,0.818,2,-4.552,1,0.032,0.0567,0,0.0919,0.59,124.957,253040,"I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I'm in Toronto and I got this view
But I might as well be in a hotel room, yeah
It doesn't matter 'cause I'm so consumed
Spending all my nights reading texts from you
Oh, I'm good at keepin' my distance
I know that you're the feelin' I'm missing
You know that I hate to admit it
But everything means nothin' if I can't have you
I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I'm so sorry that my timing's off
But I can't move on if we're still gonna talk
Is it wrong for me to not want half?
I want all of you, all the strings attached
Oh, I'm good at keepin' my distance
I know that you're the feelin' I'm missing
You know that I hate to admit it
But everything means nothin' if I can't have you
I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I'm trying to move on
Forget you, but I hold on
Everything means nothing
Everything means nothing, babe
I'm trying to move on
Forget you, but I hold on
Everything means nothing if I can't have you, no
I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinkin' about you
Is it too late to tell you that
Everything means nothing if I can't have you?"
